objID,usno_b1_id,USNORa,USNODec,PannRa,PannDec,red1mag,red2mag,blue1mag,blue2mag,pmRa,pmDec,diff,indexData
129792230928082858,1081-0265470,223.09385,18.16127,223.09286,18.16022,?,20.60,?,21.14,0,0,0.00144,767
130892245248331163,1090-0232779,224.52408,19.074,224.52483,19.07549,17.36,?,?,?,0,0,0.00167,768
130392231975140809,1086-0233503,223.19681,18.65709,223.19751,18.65854,?,20.95,20.79,?,0,0,0.00161,769
131632242984795699,1096-0230631,224.29971,19.69448,224.29836,19.696,18.57,?,?,?,0,0,0.00203,770
130452240932510593,1087-0232853,224.08519,18.71883,224.09327,18.70841,19.79,?,?,?,0,0,0.01319,771
131022242534621415,1091-0232029,224.25923,19.1883,224.25338,19.18404,19.69,20.55,?,?,-500,112,0.00724,772
129672232664971915,1080-0265903,223.25747,18.059,223.26642,18.05947,19.90,?,?,?,0,0,0.00896,773
130162236343018173,1084-0240725,223.63534,18.47197,223.63431,18.47305,19.50,?,?,21.33,0,0,0.00149,774
131502248770205173,1095-0231521,224.88149,19.58557,224.87691,19.58716,19.79,?,20.37,?,0,0,0.00485,775
130192234951004657,1084-0240531,223.49489,18.49138,223.495,18.49489,?,20.21,?,21.60,-442,816,0.00351,776
129992245593753316,1083-0252391,224.55909,18.32884,224.55938,18.32729,?,19.50,?,21.09,0,0,0.00158,777
130732242040007795,1089-0233138,224.20002,18.94665,224.20398,18.94773,14.52,14.54,16.09,15.85,0,0,0.0041,778
130202235073280075,1085-0232894,223.50531,18.50026,223.50762,18.49977,?,16.30,?,20.11,-448,154,0.00236,779
130482230990643192,1087-0231802,223.09873,18.73245,223.09906,18.73547,19.52,?,?,19.90,0,0,0.00304,780
131132248615715899,1092-0231123,224.86209,19.28121,224.8615,19.27937,?,19.46,?,20.31,0,0,0.00193,781
129872232248559063,1082-0260575,223.2252,18.23364,223.2248,18.23213,?,20.47,20.32,20.89,0,0,0.00156,782
131032235002606158,1091-0231149,223.50039,19.19958,223.50029,19.19633,?,18.70,?,19.68,0,0,0.00325,783
131342234126255228,1094-0228048,223.40828,19.4504,223.41265,19.4539,20.02,?,?,21.68,0,0,0.0056,784
131672233565635136,1097-0230506,223.35451,19.72639,223.35654,19.72881,?,16.83,?,?,0,0,0.00316,785
131282232104759666,1094-0227855,223.2112,19.41,223.21048,19.40767,19.55,?,?,21.17,0,0,0.00244,786
131292235776285237,1094-0228188,223.57412,19.41023,223.57752,19.41234,?,20.99,?,?,0,0,0.004,787
